Picture,FragID,Genotype,file,AOI,Tank
27,1728E,1728,27 1726_1727,4,T3
27,1727J,1727,27 1726_1727,5,T3
28,1735F,1735,28 1735_1736,1,T3
28,1736B,1736,28 1735_1736,2,T3
28,1747J,1747,28 1735_1736,3,T3
28,1731B,1731,28 1735_1736,4,T3
28,1747E,1747,28 1735_1736,5,T3
28,1745K,1745,28 1735_1736,6,T3
28,1721C,1721,28 1735_1736,7,T3
28,1743O,1743,28 1735_1736,8,T3
28,1721F,1721,28 1735_1736,9,T3
28,1739L,1739,28 1735_1736,10,T3
29,1745H,1745,29 1745_1721,1,T3
29,1721L,1721,29 1745_1721,2,T3
29,1735A,1735,29 1745_1721,3,T3
29,1732L,1732,29 1745_1721,4,T3
29,1731I,1731,29 1745_1721,5,T3
29,1748G,1748,29 1745_1721,6,T3
29,1759M,1759,29 1745_1721,7,T3
29,1741N,1741,29 1745_1721,8,T3
29,1747A,1747,29 1745_1721,9,T3
29,1737H,1737,29 1745_1721,10,T3
30,1753J,1753,30 1753_1738,1,T3
30,1738B,1738,30 1753_1738,2,T3
30,1722M,1722,30 1753_1738,3,T3
30,1736O,1736,30 1753_1738,4,T3
30,1738D,1738,30 1753_1738,5,T3
30,1753H,1753,30 1753_1738,6,T3
30,1721K,1721,30 1753_1738,7,T3
30,1753L,1753,30 1753_1738,8,T3
30,1737L,1737,30 1753_1738,9,T3
30,1737N,1737,30 1753_1738,10,T3
31,1748O,1748,31 1748_1750,1,T3
31,1750L,1750,31 1748_1750,2,T3
31,1757H,1757,31 1748_1750,3,T3
31,1728C,1728,31 1748_1750,4,T3
31,1729K,1729,31 1748_1750,5,T3
31,1750F,1750,31 1748_1750,6,T3
31,1747F,1747,31 1748_1750,7,T3
31,1752A,1752,31 1748_1750,8,T3
31,1759F,1759,31 1748_1750,9,T3
31,1734L,1734,31 1748_1750,10,T3
32,1750F,1750,32 1750_1747,1,T3
32,1747F,1747,32 1750_1747,2,T3
32,1752A,1752,32 1750_1747,3,T3
32,1759F,1759,32 1750_1747,4,T3
32,1734L,1734,32 1750_1747,5,T3
33,1725C,1725,33 1725C_1725J,1,T3
33,1725J,1725,33 1725C_1725J,2,T3
33,1757A,1757,33 1725C_1725J,3,T3
33,1723I,1723,33 1725C_1725J,4,T3
33,1735J,1735,33 1725C_1725J,5,T3
34,1739C,1739,34 1739_1734,1,T3
34,1734G,1734,34 1739_1734,2,T3
34,1752I,1752,34 1739_1734,3,T3
34,1755L,1755,34 1739_1734,4,T3
34,1743H,1743,34 1739_1734,5,T3
34,1755A,1755,34 1739_1734,6,T3
34,1727B,1727,34 1739_1734,7,T3
34,1758F,1758,34 1739_1734,8,T3
34,1738K,1738,34 1739_1734,9,T3
34,1722O,1722,34 1739_1734,10,T3
