  
Date	Temp	pH	pH2	Amp_3	Amp_4	Amp_5	pHx6	Tmpx6	pHx7	Tmpx7	pHx8	Tmpx8	pHx9	Tmpx9	pHx10	Tmpx10	pHx11	Tmpx11	pHx12	Tmpx12	pHx13	Tmpx13	pHx14	Tmpx14	pHx15	Tmpx15	pHx16	Tmpx16	pHx17	Tmpx17	pHx19	Tmpx19	pHx20	Tmpx20	pHx21	Tmpx21
06:30 05/13/2017	-6.2	4.22	6.01	0.8	2.5	4.2	4.49	24.8	8.05	26.6	5.43	24.8	4.65	26.5	6.32	26.4	2.73	26.7	5.22	26.5	6.64	28.1	5.29	41.3	2.15	26.6	6.59	26.2	6.26	26.3	5.85	26.5	6.11	26.3	6.84	26.5
06:40 05/13/2017	-6.2	4.22	6.00	0.8	2.5	4.0	4.49	24.8	8.05	26.6	5.43	24.9	4.65	26.5	6.32	26.4	2.72	26.6	5.22	26.5	6.64	28.1	5.29	41.5	2.15	26.7	6.59	26.2	6.26	26.3	5.85	26.5	6.11	26.3	6.84	26.5
06:50 05/13/2017	-6.2	4.21	6.00	0.9	2.5	4.2	4.49	25.0	8.05	26.6	5.43	25.0	4.65	26.5	6.32	26.5	2.72	26.6	5.22	26.5	6.64	28.1	5.29	41.6	2.15	26.7	6.59	26.2	6.25	26.3	5.85	26.5	6.12	26.3	6.84	26.5
07:00 05/13/2017	-6.2	4.21	6.00	0.8	2.5	3.5	4.48	25.0	8.05	26.6	5.43	25.1	4.64	26.5	6.32	26.5	2.71	26.6	5.22	26.5	6.64	28.1	5.28	41.4	2.15	26.7	6.58	26.1	6.25	26.2	5.85	26.4	6.10	26.3	6.84	26.4
07:10 05/13/2017	-6.2	4.21	6.00	0.9	2.2	4.0	4.48	25.0	8.05	26.6	5.42	25.1	4.64	26.5	6.32	26.5	2.70	26.6	5.22	26.5	6.64	28.2	5.28	41.5	2.15	26.6	6.58	26.1	6.25	26.2	5.85	26.4	6.10	26.2	6.83	26.4
07:20 05/13/2017	-6.2	4.20	6.00	0.8	2.3	4.2	4.48	24.9	8.05	26.5	5.42	25.0	4.63	26.5	6.32	26.5	2.70	26.5	5.22	26.5	6.64	28.2	5.28	41.2	2.15	26.6	6.58	26.1	6.25	26.2	5.85	26.3	6.10	26.2	6.83	26.3
07:30 05/13/2017	-6.2	4.20	6.00	0.7	2.5	4.1	4.48	25.0	8.05	26.5	5.42	25.1	4.63	26.4	6.32	26.5	2.70	26.5	5.22	26.4	6.64	28.2	5.27	41.3	2.15	26.6	6.58	26.1	6.25	26.1	5.84	26.3	6.11	26.2	6.83	26.3
07:40 05/13/2017	-6.2	4.20	6.00	0.8	2.5	3.8	4.48	24.9	8.05	26.5	5.42	25.1	4.63	26.4	6.32	26.4	2.69	26.4	5.22	26.4	6.63	28.2	5.27	41.2	2.15	26.6	6.58	26.0	6.25	26.1	5.84	26.3	6.11	26.2	6.83	26.3
07:50 05/13/2017	-6.2	4.19	6.00	0.9	2.5	2.7	4.47	24.8	8.05	26.4	5.42	25.1	4.62	26.4	6.32	26.4	2.68	26.3	5.22	26.3	6.63	28.2	5.27	41.3	2.15	26.6	6.58	26.0	6.25	26.1	5.84	26.3	6.11	26.1	6.83	26.3
08:00 05/13/2017	-6.2	4.19	6.00	0.9	2.5	3.8	4.47	24.8	8.05	26.3	5.42	25.0	4.62	26.3	6.32	26.4	2.68	26.3	5.22	26.3	6.63	28.2	5.27	41.3	2.15	26.5	6.58	26.2	6.25	26.5	5.84	26.5	6.11	26.1	6.83	26.2
08:10 05/13/2017	-6.2	4.19	6.00	0.7	2.4	4.2	4.47	24.7	8.04	26.3	5.42	24.8	4.62	26.3	6.32	26.3	2.68	26.3	5.22	26.3	6.63	28.2	5.26	41.2	2.15	26.5	6.58	26.4	6.25	26.8	5.84	26.7	6.11	26.1	6.82	26.2
08:20 05/13/2017	-6.2	4.19	6.00	0.8	2.5	3.8	4.47	24.7	8.04	26.3	5.42	24.8	4.62	26.3	6.32	26.3	2.68	26.2	5.22	26.3	6.63	28.2	5.26	41.2	2.15	26.5	6.57	26.7	6.25	27.2	5.84	26.8	6.11	26.0	6.82	26.2
